CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联盟国家,ARB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,307000000,666000000,791000000,883000000,1115000000,1154000000,1162000000,1217000000,907000000,1022000000,1196000000,1120000000,1364000000,1259000000,1144000000,2102000000,2748000000,2622000000,1978000000,2212000000,1816000000,1668000000,2535000000,2938000000,5968000000,5939000000,6403000000,7472000000,6908000000,8783000000,11639000000,11517000000,11751000000,12519000000,12731000000,12902000000,12457000000,11662000000,10863000000,10866000000,11679000000,,,
阿拉伯联合酋长国,ARE,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿根廷,ARG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,729000000,615000000,631000000,678000000,650000000,627000000,535000000,756000000,680000000,819000000,894000000,733000000,900000000,581000000,607000000,1013000000,1003000000,1561000000,857000000,654000000,914000000,825000000,1166000000,2312000000,1879000000,1878000000,1789000000,1704000000,1973000000,1754000000,1349000000,806000000,930000000,1670000000,2172000000,1986000000,2328000000,2014000000,1991000000,2697000000,3238000000,,,
亚美尼亚,ARM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
美属萨摩亚,ASM,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳大利亚,AUS,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,15963000000,16832000000,18553000000,19679000000,22122000000,23673000000,27256000000,29452000000,32040000000,34725000000,37513000000,37679000000,39979000000,48233000000,47179000000,50639000000,52225000000,59745000000,60698000000,63275000000,69762000000,72709000000,74204000000,77168000000,81630000000,89374000000,92857000000,1.01E+11,1.06E+11,1.14E+11,1.21E+11,1.26E+11,1.29E+11,1.31E+11,1.36E+11,1.39E+11,1.46E+11,1.51E+11,1.64E+11,1.68E+11,1.74E+11,1.87E+11,1.75E+11,1.72E+11,1.79E+11,1.82E+11,1.85E+11,1.87E+11,1.84E+11,1.86E+11,1.81E+11,1.73E+11,1.76E+11,,
