Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联盟国家,ARB,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,1.16673991,2.293334253,2.429134949,2.387673289,2.626880225,2.265374761,1.952894814,1.729399875,1.032492159,1.010664202,1.034949266,0.83484911,0.914375306,0.756000345,0.627773034,1.078558748,1.29224095,1.147735247,0.83077326,0.892885954,0.733190715,0.606039723,0.848975884,0.927439666,1.802380156,1.70157683,1.732673148,1.870136264,1.63620256,1.952331977,2.436899872,2.266207234,2.195558074,2.203790653,2.068863586,1.972832185,1.788454161,1.549716835,1.362359951,1.246845946,1.29922727,,,
阿拉伯联合酋长国,ARE,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿根廷,ARG,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,3.085844903,2.430253695,2.366752935,2.425760286,2.215179089,2.075059571,1.650572301,2.261171263,1.80654074,2.062660555,2.301810036,1.837737552,2.092877241,1.292087355,1.340991936,2.067220374,1.927400603,2.987788539,1.696660133,1.288923926,1.704492475,1.476351533,1.893594907,3.681059738,2.803849884,2.6949459,2.474549076,2.302298245,2.451906348,1.972781464,1.496976086,0.95436569,1.010562003,1.66728233,2.058943417,2.060358332,2.272305785,1.65619552,1.633051452,2.153069941,2.499324611,,,
亚美尼亚,ARM,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
美属萨摩亚,ASM,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳大利亚,AUS,燃煤炭发电量（占总量的百分比）,EG.ELC.COAL.ZS,74.42305003,72.99852546,75.57537985,71.85788359,72.70755275,70.74803503,75.76161886,75.66734322,76.72046358,76.13962769,75.96646483,71.03214252,71.92666823,74.88317213,67.78299786,68.82262602,68.36448843,72.42959497,70.74853719,69.80682458,73.25324989,71.13826706,71.06777892,73.13323919,73.20813603,74.68995487,74.06400051,76.5402249,76.72277901,77.28002067,78.73508462,80.35084581,81.13821751,80.43568821,81.12030341,80.16145366,82.16781836,82.96376212,84.00002051,82.74884961,83.02757977,83.28896618,77.10860329,77.62285663,77.78779681,79.52808664,79.62195887,77.05388965,75.8351435,74.72193851,71.75088355,68.61053482,69.70110204,,
