CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联盟国家,ARB,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,5808000000,7061000000,9120000000,10431000000,12188000000,16565000000,18404000000,23422000000,31411000000,43902000000,47614000000,52117000000,58675000000,66622000000,75142000000,80223000000,87237000000,96245000000,1.05E+11,1.16E+11,1.15E+11,1.30E+11,1.50E+11,1.61E+11,1.68E+11,1.78E+11,1.85E+11,1.92E+11,2.10E+11,2.26E+11,2.59E+11,2.78E+11,3.00E+11,3.25E+11,3.66E+11,3.92E+11,4.12E+11,4.49E+11,4.74E+11,5.32E+11,5.51E+11,,,
阿拉伯联合酋长国,ARE,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,203000000,467000000,720000000,942000000,1368000000,1941000000,2845000000,3624000000,4806000000,6072000000,6946000000,8584000000,9764000000,10591000000,11555000000,12336000000,13150000000,14288000000,15033000000,16446000000,16708000000,17997000000,20924000000,22855000000,24206000000,25676000000,27226000000,32172000000,35868000000,38709000000,41963000000,45560000000,48092000000,51192000000,59401000000,65410000000,74687000000,84791000000,89059000000,96086000000,97453000000,,,
阿根廷,ARG,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,5417000000,5868000000,6543000000,6513000000,7301000000,7757000000,8038000000,6653000000,7416000000,8744000000,8711000000,10234000000,10502000000,11046000000,12425000000,13273000000,12532000000,21075000000,24320000000,19873000000,21002000000,20820000000,21543000000,20223000000,26477000000,32396000000,32019000000,34092000000,45571000000,48611000000,43007000000,40275000000,47594000000,54897000000,55332000000,38998000000,49919000000,65854000000,62223000000,62926000000,66638000000,,,
亚美尼亚,ARM,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000000,2670000000,2060000000,1456000000,1508000000,2913000000,2191000000,3013000000,3065000000,2439000000,2692000000,2790000000,1579000000,1521000000,1831000000,1828000000,1476000000,1489000000,1510000000,1154000000,1438000000,2390000000,,,
美属萨摩亚,ASM,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
