CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联盟国家,ARB,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,22.07304689,24.31416391,28.00721963,28.20591176,28.7142746,32.51813945,30.93035814,33.28348715,35.75701346,43.41504872,41.2024033,38.84806347,39.33355653,40.0049682,41.2343718,41.16328185,41.0230072,42.12958766,44.17714509,46.92252933,46.37915761,47.20933176,50.16426026,50.80715255,50.64996287,51.01005874,50.141986,48.13022935,49.7705912,50.1835787,54.20955895,54.77936653,56.06567084,57.24803475,59.44143606,59.96052009,59.10656516,59.67379884,59.43980353,60.99630954,61.3114237,,,
阿拉伯联合酋长国,ARE,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,100,100,100,100,100,100,96.27749577,96.2805526,96.29332799,96.28924833,96.25831486,96.28715648,96.28241791,96.28181818,96.29166667,96.26970501,96.28761807,96.28032345,96.29131437,96.28805621,96.29416172,96.29728717,96.29084215,96.28833839,96.89376351,96.6280295,95.86619718,96.34643028,96.61153908,96.90817144,97.1995738,97.23407888,97.25379171,97.66297194,97.86319154,97.96609154,98.13549523,98.29700904,98.32842017,98.31982646,98.30134057,,,
阿根廷,ARG,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,22.93007111,23.18817672,24.54146506,23.30232558,24.88157312,25.67182949,24.79869188,19.89890531,19.70192078,22.02186068,22.42848683,25.65812566,24.42155198,24.56522706,27.44946427,27.08609677,24.08193855,40.33801631,48.14792817,39.16633819,39.1660295,37.25774413,34.98603352,32.19812763,39.50906513,46.48853428,44.28875733,46.06217827,56.63245017,54.67438983,47.72457416,47.6886826,51.71686878,54.80766351,52.45186793,40.45813406,48.72475622,54.1544686,51.0363438,50.23510534,51.43606962,,,
亚美尼亚,ARM,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.40609921,28.05800757,22.87872057,23.12946783,26.65252739,52.38266499,35.25909237,49.97512025,49.50734938,42.66223544,45.1829473,48.56396867,28.61025548,27.64951827,30.36484245,28.93778692,24.84430231,25.24584605,26.16984402,20.34914477,22.15375135,32.15390825,,,
美属萨摩亚,ASM,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳大利亚,AUS,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,0,0,0.012220457,0.018257504,0.023006639,0.020919877,0.022237047,0.0205534,0.016761649,0.019733813,0.866730119,3.268922613,3.481280248,4.27100961,5.218165884,4.00114163,4.653628652,5.002000315,6.38855864,6.876427303,7.32511498,9.302598622,9.74112419,9.473355004,10.57450854,9.611398964,10.99430504,10.6361625,10.64254415,10.28541902,9.306681704,6.881484131,7.310558928,7.532039501,7.297405619,8.629958624,7.020166408,6.257427478,6.632174301,7.857995256,7.740727328,7.701157113,13.95473617,13.23809738,13.46863388,10.42404761,9.765131528,13.10777107,14.38051277,16.11349252,17.94714149,19.66092837,19.38119401,,
奥地利,AUT,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,8.29555757,7.924038105,7.924003707,8.077978825,7.353236832,6.123009336,7.280996302,6.448938992,6.816479401,10.18779162,12.41874323,16.25062052,15.10458081,14.31944624,13.71052238,13.01062033,15.89826032,15.0235748,14.36154683,11.95362838,9.192307692,7.953415708,9.809399787,8.150671876,11.24258935,11.35064698,11.58332765,11.39913057,11.86525161,13.29874886,15.6625284,14.88013392,13.2922165,13.21757412,16.58574965,16.15136467,17.55515735,15.20337613,15.85941692,15.50504039,13.1142065,14.32197423,15.32797417,19.21441727,17.68124364,20.33215746,17.13232097,15.80847122,17.31019523,18.60135431,21.10880478,19.93886744,15.04443996,,
阿塞拜疆,AZE,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.524906829,18.31995902,18.58131894,18.58137766,18.53171775,19.74108234,19.5587588,19.84598107,59.38850817,58.22683279,52.70600395,59.05997057,61.17086394,64.84537343,70.90676065,81.73543409,85.12295951,81.45376804,85.1483197,,,
布隆迪,BDI,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比利时,BEL,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,0.27719113,0.318173311,0.210886292,0.122262386,0.121648582,0.13530537,0.158954433,1.426702123,0.801209373,4.940853763,13.28506372,18.57568373,20.76632488,23.70306537,25.71961998,21.9682493,19.5615729,16.04045318,13.25975593,14.01406416,11.24107664,9.800003996,4.720076834,7.12178758,5.20208605,4.235766722,1.688620468,3.359699649,3.949427496,8.035647532,7.689352985,8.732054056,9.337627783,9.721984358,11.59922064,13.848686,14.65303841,14.81743106,18.31982942,23.06815728,19.30218791,20.0717393,22.07588431,25.86015007,25.46086091,26.65881063,27.29406743,29.00395311,29.48685738,32.64065214,33.50966256,28.57945353,26.64742727,,
贝宁,BEN,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
布基纳法索,BFA,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孟加拉国,BGD,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,39.90291262,39.90291262,34.68660969,48.35377663,40.5654579,39.28773318,46.53567735,43.35286165,45.6286428,48.61878453,50.45078888,57.90513834,62.3070201,58.85022693,64.24469965,63.16666667,75.69357437,77.58752484,78.8756149,84.26021728,88.10157195,86.59770632,86.60656094,84.63818479,88.0251712,87.10127244,84.50834879,84.58313926,84.96885813,88.73248367,87.55174793,89.24725422,89.45819805,91.10354886,91.22050817,90.97711268,89.89713328,89.14012646,91.18871726,91.80052745,91.48226323,,,
保加利亚,BGR,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.823308993,5.600191296,6.440779334,19.32431532,18.67893882,7.565079139,7.060349469,7.767481045,8.000631629,6.702855794,7.681447271,6.983331773,4.7206776,4.852590218,5.286830269,4.704029917,4.382781274,3.649600417,4.162729163,3.606430744,3.932047667,4.74484638,5.440529147,5.293378791,4.627073453,4.274507247,4.152090039,,,
巴林,BHR,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,94.72550026,97.68060139,99.95809939,100,100,100,,,
巴哈马,BHS,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41485831,0.315346882,0.320680628,,,
白俄罗斯,BLR,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.13530334,51.87814638,68.97991754,71.95001349,72.00687964,71.83160767,80.38182738,86.51801819,86.63800443,87.84884598,93.32975748,94.07094123,94.75355307,95.80125437,95.02403076,96.83149769,94.97343686,99.03861259,96.88997946,81.69936792,97.14572288,98.27907555,,,
伯利兹,BLZ,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
百慕大,BMU,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玻利维亚,BOL,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,2.884615385,3.442188879,4.355251921,5.891594658,7.572383073,8.983286908,13.58490566,15.16560139,18.11196487,19.64175417,20.14428413,20.29411765,21.68468981,20.95343681,23.47972973,26.93144723,31.99129489,32.35747304,36.78435115,38.94418001,38.18101933,40.42288557,39.68313844,49.82294618,54.45511759,52.96479308,52.390553,54.79784367,50.73434682,47.70618557,43.96984925,44.8374761,51.56971376,50.01105461,57.41421569,56.50943396,56.71433554,57.53824996,59.71246528,65.17434988,62.50346164,,,
巴西,BRA,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146305779,0.15914463,0.161335694,0.153982919,0.184201722,0.203192296,0.334388454,0.382165191,0.410569763,0.792612244,1.165916712,3.020017777,3.588961758,3.59829719,4.971957889,4.667607863,4.354015982,3.481097256,6.213940231,2.859974515,7.071566776,4.719251991,,,
巴巴多斯,BRB,天然气发电量（占总发电量的比例）,EG.ELC.NGAS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
