CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联盟国家,ARB,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联合酋长国,ARE,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿根廷,ARG,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,1036000000,2517000000,2572000000,1637000000,2896000000,2692000000,2340000000,2816000000,1870000000,3405000000,4641000000,5766000000,5711000000,6465000000,5798000000,5039000000,7281000000,7756000000,7081000000,7750000000,8235000000,7066000000,7459000000,7961000000,7453000000,7106000000,6177000000,7059000000,5821000000,7566000000,7869000000,6873000000,7691000000,7217000000,7330000000,8161000000,7171000000,6371000000,,,
亚美尼亚,ARM,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,304000000,2324000000,1607000000,1589000000,2078000000,2005000000,1987000000,2282000000,1998000000,2201000000,2716000000,2640000000,2553000000,2461000000,2494000000,2490000000,2548000000,,,
美属萨摩亚,ASM,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳大利亚,AUS,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
奥地利,AUT,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
阿塞拜疆,AZE,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
布隆迪,BDI,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
比利时,BEL,核能发电量（千瓦时）,EG.ELC.NUCL.KH,0,0,4000000,47000000,51000000,0,6000000,94000000,61000000,22000000,57000000,0,11000000,76000000,148000000,6784000000,10036000000,11939000000,12513000000,11407000000,12549000000,12859000000,15664000000,24106000000,27743000000,34601000000,39394000000,41967000000,43102000000,41217000000,42722000000,42861000000,43456000000,41927000000,40624000000,41356000000,43336000000,47408000000,46165000000,49017000000,48157000000,46349000000,47360000000,47379000000,47312000000,47595000000,46645000000,48227000000,45568000000,47222000000,47944000000,48234000000,40295000000,,
