Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联盟国家,ARB,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联合酋长国,ARE,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿根廷,ARG,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,0,0,0,3.706618962,8.577855025,8.512046598,5.050442724,8.661841239,7.151775989,5.893315872,7.250444141,4.688361831,7.918052229,10.32113152,12.73831879,11.65438851,12.42337478,11.09750029,9.976044822,14.34962554,14.46394271,12.67156994,12.5860725,13.11138708,10.54390808,10.70372815,11.01167423,10.06985259,8.830839588,6.947474975,7.833324086,6.892509532,8.221410875,7.856194403,6.515247746,7.978960691,7.044343149,6.027762245,6.693788499,5.724755115,4.917602563,,,
亚美尼亚,ARM,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5.46664269,37.39942066,26.65450323,25.66628978,36.34773483,33.65223229,34.58659704,41.3480703,36.32066897,36.50082919,42.99509261,44.43696347,43.28585961,42.65164645,43.97813437,38.36080727,34.27956411,,,
美属萨摩亚,ASM,核能发电量（占总发电量的比例）,EG.ELC.NUCL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
