CountryName,CountryCode,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,137000000,158000000,170000000,371000000,355000000,157000000,157000000,57000000,75000000,80000000,80000000,89000000,205000000,69000000,105000000,105000000,109000000,114000000,109000000,116000000,162000000,107000000,60000000,60000000,60000000,103000000,271000000,258000000,441000000,533000000,621000000,622000000,754000000,482000000,567000000,641000000,720000000,1022000000,1641000000,1746000000,1644000000,,,
阿尔巴尼亚,ALB,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,525000000,550000000,575000000,600000000,625000000,650000000,675000000,700000000,725000000,765000000,700000000,640000000,580000000,978000000,1017000000,1045000000,1045000000,1045000000,1045000000,350000000,234000000,131000000,168000000,133000000,210000000,200000000,156000000,147000000,113000000,144000000,137000000,174000000,107000000,140000000,70000000,93000000,72000000,0,1000000,1000000,1000000,,,
阿拉伯联盟国家,ARB,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,11678000000,12309000000,13968000000,15336000000,18075000000,20257000000,25023000000,29923000000,38468000000,38999000000,49348000000,63284000000,72587000000,81392000000,89089000000,95652000000,1.04E+11,1.10E+11,1.11E+11,90498000000,92317000000,1.01E+11,99000000000,1.03E+11,1.06E+11,1.10E+11,1.22E+11,1.40E+11,1.47E+11,1.58E+11,1.55E+11,1.71E+11,1.77E+11,1.82E+11,1.78E+11,1.83E+11,2.03E+11,2.19E+11,2.09E+11,2.07E+11,2.10E+11,,,
阿拉伯联合酋长国,ARE,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,0,0,0,0,0,0,110000000,140000000,185000000,234000000,270000000,331000000,377000000,409000000,445000000,478000000,507000000,552000000,579000000,634000000,643000000,692000000,806000000,881000000,776000000,896000000,1174000000,1220000000,1258000000,1235000000,1209000000,1296000000,1358000000,1225000000,1297000000,1358000000,1419000000,1469000000,1514000000,1642000000,1684000000,,,
阿根廷,ARG,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,15877000000,17245000000,16436000000,14637000000,13612000000,14190000000,16376000000,15316000000,16100000000,12563000000,11649000000,9347000000,9627000000,8723000000,5705000000,7890000000,10090000000,8658000000,7211000000,4949000000,7630000000,7669000000,7143000000,4557000000,4644000000,4676000000,2050000000,3829000000,3852000000,2884000000,1004000000,760000000,1011000000,4039000000,5747000000,8037000000,10972000000,14372000000,14277000000,16664000000,19591000000,,,
亚美尼亚,ARM,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7107000000,5300000000,3900000000,546000000,636000000,425000000,127000000,19000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
美属萨摩亚,ASM,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
澳大利亚,AUS,石油发电量（千瓦时）,EG.ELC.PETR.KH,1185000000,1302000000,781000000,802000000,1168000000,1192000000,1364000000,1551000000,1826000000,2220000000,2291000000,1788000000,1816000000,1678000000,5163000000,4823000000,5063000000,5040000000,5328000000,5348000000,5169000000,5511000000,5926000000,5790000000,5556000000,4667000000,3771000000,2799000000,2444000000,3024000000,3552000000,3396000000,2362000000,2421000000,2320000000,2738000000,2805000000,2175000000,1821000000,1729000000,1784000000,2044000000,2446000000,1661000000,1389000000,2841000000,3058000000,2893000000,4058000000,4190000000,4358000000,4103000000,3570000000,,
奥地利,AUT,石油发电量（千瓦时）,EG.ELC.PETR.KH,661000000,874000000,1435000000,1883000000,2370000000,2188000000,1840000000,2156000000,2498000000,2944000000,2076000000,3469000000,4233000000,4348000000,3070000000,3899000000,5384000000,4447000000,4959000000,5085000000,5806000000,3168000000,2897000000,3119000000,2571000000,2094000000,2341000000,2118000000,1548000000,1390000000,1880000000,2230000000,1989000000,2731000000,2605000000,2117000000,1929000000,2391000000,2785000000,2657000000,1702000000,1818000000,1448000000,1861000000,1820000000,1641000000,1641000000,1286000000,1244000000,1136000000,1271000000,1011000000,743000000,,
阿塞拜疆,AZE,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21494000000,21692000000,18016000000,16525000000,12523000000,12321000000,12374000000,12004000000,12494000000,13115000000,13454000000,6403000000,5792000000,7598000000,6147000000,5872000000,6110000000,3992000000,1721000000,497000000,23000000,338000000,,,
布隆迪,BDI,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
