Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,18.46361186,18.85441527,17.27642276,30.18714402,27.20306513,26.83760684,26.83760684,9.743589744,11.9047619,11.85185185,11.85185185,12.36111111,26.18135377,10.29850746,13.02729529,13.02729529,13.45679012,13.98773006,13.30891331,13.79310345,17.34475375,11.29883844,6.315789474,6.282722513,6.25,10.01945525,23.64746946,19.57511381,33.03370787,36.88581315,37.91208791,35.2407932,37.79448622,21.59498208,20.35175879,19.38898972,22.3811004,24.59095284,34.65681098,32.04257662,29.09219607,,,
阿尔巴尼亚,ALB,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,42.85714286,37.93103448,33.78378378,31.57894737,28.08988764,25.49019608,23.47826087,22.58064516,21.16788321,20.59219381,18.66666667,16.99867198,15.34391534,26.31154157,32.3164919,20.46611829,23.77701934,26.22991968,25.34562212,10.94434021,6.236673774,3.902293715,4.824813326,3.406762295,4.757589488,3.374957813,3.009259259,2.900552486,2.09375579,3.03925707,3.710725894,4.720564297,2.143429487,2.497324295,1.286055484,1.683562636,2.517482517,0,0.019204916,0.013192612,0.024044241,,,
阿拉伯联盟国家,ARB,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,44.38172204,42.38536235,42.89526797,41.46926112,42.583731,39.76576823,42.0544638,42.52163718,43.79041717,38.56643171,42.70290667,47.17195634,48.65964836,48.87401116,48.88782504,49.08006726,48.73083886,48.31781542,46.43930119,36.53001496,37.2720084,36.56221663,33.15527122,32.62453691,32.15080166,31.63890012,33.06853924,35.12587442,34.82686046,35.06639857,32.48746187,33.69932998,33.05388298,32.03092387,28.87357437,27.97806933,29.0880433,29.13977933,26.2117904,23.69867903,23.35738971,,,
阿拉伯联合酋长国,ARE,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,0,0,0,0,0,0,3.72250423,3.719447396,3.70667201,3.710751665,3.741685144,3.712843522,3.717582092,3.718181818,3.708333333,3.73029499,3.712381929,3.71967655,3.708685626,3.711943794,3.70583828,3.702712826,3.709157846,3.711661611,3.10623649,3.371970495,4.133802817,3.653569717,3.388460917,3.09182856,2.800426202,2.76592112,2.746208291,2.337028063,2.136808462,2.033908459,1.86450477,1.702990958,1.671579831,1.680173543,1.698659431,,,
阿根廷,ARG,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,67.20707755,68.14589425,61.64810022,52.36851521,46.38925809,46.9618745,50.52293833,45.80965484,42.7725087,31.6400544,29.99304822,23.43428772,22.38681022,19.39910154,12.60355683,16.10105504,19.38930418,16.57160357,14.27609828,9.753646039,14.22896891,13.72380594,11.60029882,7.255445166,6.929791838,6.71009959,2.8355649,5.173415481,4.786996073,3.243729614,1.114131943,0.899898169,1.098578693,4.032427144,5.447858111,8.337915366,10.70950991,11.81869017,11.71023384,13.30321005,15.12176296,,,
亚美尼亚,ARM,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.58714534,55.69567045,43.31408263,8.673550437,11.2407211,7.64251034,2.043772127,0.315143473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
美属萨摩亚,ASM,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,石油发电量（占总发电量的比例）,EG.ELC.PETR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
