CountryName,CountryCode,Indicator Name,IndicatorCode,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿尔巴尼亚,ALB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,700000000,900000000,1127000000,1300000000,1600000000,1900000000,2200000000,2400000000,2700000000,2950000000,3050000000,3125000000,3200000000,2739000000,2130000000,4061000000,3350000000,2939000000,3078000000,2848000000,3518000000,3226000000,3314000000,3771000000,4204000000,5726000000,5028000000,4921000000,5284000000,4594000000,3555000000,3512000000,4885000000,5466000000,5373000000,5431000000,2788000000,3797000000,5206000000,7579000000,4158000000,,,
阿尔巴尼亚,ALB,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔巴尼亚,ALB,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,525000000,550000000,575000000,600000000,625000000,650000000,675000000,700000000,725000000,765000000,700000000,640000000,580000000,978000000,1017000000,1045000000,1045000000,1045000000,1045000000,350000000,234000000,131000000,168000000,133000000,210000000,200000000,156000000,147000000,113000000,144000000,137000000,174000000,107000000,140000000,70000000,93000000,72000000,0,1000000,1000000,1000000,,,
阿尔及利亚,DZA,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔及利亚,DZA,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,330000000,495000000,752000000,497000000,328000000,389000000,269000000,250000000,291000000,257000000,366000000,479000000,235000000,452000000,646000000,250000000,499000000,183000000,226000000,135000000,293000000,199000000,353000000,166000000,193000000,135000000,75000000,215000000,203000000,54000000,69000000,57000000,265000000,251000000,555000000,218000000,226000000,283000000,306000000,174000000,502000000,,,
阿尔及利亚,DZA,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,866000000,1231000000,1542000000,2059000000,2396000000,2869000000,3253000000,4168000000,5346000000,5994000000,6796000000,7732000000,8785000000,9554000000,10482000000,11533000000,11123000000,12676000000,13972000000,15095000000,16303000000,17313000000,18434000000,18968000000,18867000000,19775000000,20595000000,22245000000,23877000000,24585000000,25781000000,26994000000,28619000000,30312000000,32643000000,34258000000,36176000000,39161000000,37588000000,44596000000,47906000000,,,
阿尔及利亚,DZA,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿尔及利亚,DZA,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,1033000000,710000000,512000000,512000000,906000000,977000000,1114000000,1062000000,792000000,872000000,980000000,1185000000,1198000000,1176000000,1146000000,1198000000,1100000000,1107000000,1126000000,874000000,749000000,774000000,627000000,749000000,655000000,744000000,827000000,802000000,677000000,773000000,775000000,597000000,687000000,687000000,717000000,750000000,794000000,792000000,607000000,964000000,2816000000,,,
阿富汗,AFG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿根廷,ARG,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,729000000,615000000,631000000,678000000,650000000,627000000,535000000,756000000,680000000,819000000,894000000,733000000,900000000,581000000,607000000,1013000000,1003000000,1561000000,857000000,654000000,914000000,825000000,1166000000,2312000000,1879000000,1878000000,1789000000,1704000000,1973000000,1754000000,1349000000,806000000,930000000,1670000000,2172000000,1986000000,2328000000,2014000000,1991000000,2697000000,3238000000,,,
阿根廷,ARG,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,1544000000,1504000000,2994000000,5028000000,5201000000,5013000000,5766000000,7752000000,10660000000,15144000000,14685000000,17593000000,18419000000,19880000000,20646000000,21009000000,21841000000,15033000000,12965000000,17876000000,16221000000,19384000000,23867000000,27361000000,26832000000,22912000000,28015000000,26435000000,21392000000,28774000000,37023000000,35850000000,33813000000,30440000000,34004000000,37950000000,30367000000,30417000000,33866000000,33587000000,31564000000,,,
阿根廷,ARG,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,5417000000,5868000000,6543000000,6513000000,7301000000,7757000000,8038000000,6653000000,7416000000,8744000000,8711000000,10234000000,10502000000,11046000000,12425000000,13273000000,12532000000,21075000000,24320000000,19873000000,21002000000,20820000000,21543000000,20223000000,26477000000,32396000000,32019000000,34092000000,45571000000,48611000000,43007000000,40275000000,47594000000,54897000000,55332000000,38998000000,49919000000,65854000000,62223000000,62926000000,66638000000,,,
阿根廷,ARG,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,1036000000,2517000000,2572000000,1637000000,2896000000,2692000000,2340000000,2816000000,1870000000,3405000000,4641000000,5766000000,5711000000,6465000000,5798000000,5039000000,7281000000,7756000000,7081000000,7750000000,8235000000,7066000000,7459000000,7961000000,7453000000,7106000000,6177000000,7059000000,5821000000,7566000000,7869000000,6873000000,7691000000,7217000000,7330000000,8161000000,7171000000,6371000000,,,
阿根廷,ARG,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,15877000000,17245000000,16436000000,14637000000,13612000000,14190000000,16376000000,15316000000,16100000000,12563000000,11649000000,9347000000,9627000000,8723000000,5705000000,7890000000,10090000000,8658000000,7211000000,4949000000,7630000000,7669000000,7143000000,4557000000,4644000000,4676000000,2050000000,3829000000,3852000000,2884000000,1004000000,760000000,1011000000,4039000000,5747000000,8037000000,10972000000,14372000000,14277000000,16664000000,19591000000,,,
阿拉伯埃及共和国,EGY,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯埃及共和国,EGY,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,5041000000,5159000000,5156000000,6122000000,6790000000,8003000000,9037000000,9320000000,9510000000,9801000000,10215000000,10474000000,9817000000,9633000000,8663000000,9281000000,8658000000,9000000000,9974000000,9932000000,9900000000,9700000000,10485000000,10971000000,11413000000,11555000000,11987000000,12222000000,14659000000,13697000000,15130000000,12859000000,13019000000,12644000000,12644000000,12925000000,15510000000,14682000000,12863000000,13046000000,12934000000,,,
阿拉伯埃及共和国,EGY,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3883000000,4739000000,5197000000,6980000000,8485000000,9988000000,10590000000,12842000000,13469000000,13961000000,18931000000,21882000000,24007000000,28338000000,30245000000,30655000000,32372000000,32987000000,32072000000,42381000000,41996000000,54948000000,59955000000,68096000000,74905000000,80766000000,83260000000,85549000000,89594000000,95457000000,1.01E+11,1.17E+11,,,
阿拉伯埃及共和国,EGY,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯埃及共和国,EGY,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,2957000000,2884000000,2950000000,3040000000,3586000000,4193000000,5095000000,5830000000,7240000000,5255000000,6356000000,6905000000,9082000000,10931000000,12807000000,13593000000,16345000000,17111000000,17714000000,13393000000,12514000000,11971000000,8973000000,8088000000,9932000000,11213000000,13454000000,18672000000,11431000000,22313000000,12983000000,16172000000,13700000000,13227000000,14728000000,18606000000,23239000000,25833000000,29547000000,30768000000,24676000000,,,
阿拉伯联合酋长国,ARE,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联合酋长国,ARE,水力发电量（千瓦时）,EG.ELC.HYRO.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联合酋长国,ARE,天然气发电量（千瓦时）,EG.ELC.NGAS.KH,,,,,,,,,,,,203000000,467000000,720000000,942000000,1368000000,1941000000,2845000000,3624000000,4806000000,6072000000,6946000000,8584000000,9764000000,10591000000,11555000000,12336000000,13150000000,14288000000,15033000000,16446000000,16708000000,17997000000,20924000000,22855000000,24206000000,25676000000,27226000000,32172000000,35868000000,38709000000,41963000000,45560000000,48092000000,51192000000,59401000000,65410000000,74687000000,84791000000,89059000000,96086000000,97453000000,,,
阿拉伯联合酋长国,ARE,核能发电量（千瓦时）,EG.ELC.NUCL.KH,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
阿拉伯联合酋长国,ARE,石油发电量（千瓦时）,EG.ELC.PETR.KH,,,,,,,,,,,,0,0,0,0,0,0,110000000,140000000,185000000,234000000,270000000,331000000,377000000,409000000,445000000,478000000,507000000,552000000,579000000,634000000,643000000,692000000,806000000,881000000,776000000,896000000,1174000000,1220000000,1258000000,1235000000,1209000000,1296000000,1358000000,1225000000,1297000000,1358000000,1419000000,1469000000,1514000000,1642000000,1684000000,,,
阿拉伯联盟国家,ARB,煤炭发电量（千瓦时）,EG.ELC.COAL.KH,,,,,,,,,,,,307000000,666000000,791000000,883000000,1115000000,1154000000,1162000000,1217000000,907000000,1022000000,1196000000,1120000000,1364000000,1259000000,1144000000,2102000000,2748000000,2622000000,1978000000,2212000000,1816000000,1668000000,2535000000,2938000000,5968000000,5939000000,6403000000,7472000000,6908000000,8783000000,11639000000,11517000000,11751000000,12519000000,12731000000,12902000000,12457000000,11662000000,10863000000,10866000000,11679000000,,,
