Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
阿鲁巴,ABW,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安道尔共和国,AND,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿富汗,AFG,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安哥拉,AGO,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,556000000,628000000,738000000,922000000,979000000,439000000,439000000,439000000,472000000,506000000,506000000,540000000,587000000,502000000,604000000,604000000,607000000,611000000,614000000,630000000,667000000,677000000,680000000,684000000,687000000,736000000,1031000000,1126000000,1141000000,1234000000,1400000000,1507000000,1737000000,1642000000,2124000000,2916000000,2786000000,3740000000,4261000000,4822000000,5014000000,,,
阿尔巴尼亚,ALB,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,1164000000,1275000000,1363000000,1389000000,1778000000,2234000000,2684000000,2819000000,2790000000,3054000000,3064000000,3054000000,3045000000,2957000000,2361000000,4294000000,3583000000,3161000000,3297000000,1717000000,1301000000,1436000000,1684000000,1876000000,2057000000,2809000000,2143000000,2258000000,4366000000,4438000000,4097000000,4763000000,4466000000,5441000000,5186000000,3646000000,3603000000,4768000000,5379000000,5673000000,6376000000,,,
阿拉伯联盟国家,ARB,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,23662000000,26150000000,29354000000,33395000000,38056000000,45143000000,52754000000,62787000000,78079000000,90233000000,1.00703E+11,1.18899E+11,1.32373E+11,1.47682E+11,1.57201E+11,1.76703E+11,1.89793E+11,2.02349E+11,2.12165E+11,2.21477E+11,2.20588E+11,2.4608E+11,2.66492E+11,2.82033E+11,2.95012E+11,3.11115E+11,3.28591E+11,3.59369E+11,3.80651E+11,3.9752E+11,4.22845E+11,4.51092E+11,4.81053E+11,5.05672E+11,5.36851E+11,5.79085E+11,6.10505E+11,6.48065E+11,6.90469E+11,7.57973E+11,7.87722E+11,,,
阿拉伯联合酋长国,ARE,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,189000000,435000000,671000000,877000000,1273000000,1805000000,2748000000,3501000000,4642000000,5865000000,6710000000,8290000000,9431000000,10230000000,11161000000,11917000000,12701000000,13801000000,14207000000,15543000000,15790000000,17007000000,19774000000,21600000000,22709000000,24154000000,26515000000,31599000000,36242000000,38593000000,40074000000,43767000000,46180000000,48951000000,56262000000,61888000000,70544000000,73495000000,77170000000,83193000000,83794000000,,,
阿根廷,ARG,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,21214000000,22812000000,24111000000,25290000000,26176000000,27118000000,28841000000,29589000000,33437000000,34693000000,33938000000,34803000000,36846000000,38682000000,38945000000,40841000000,44090000000,45993000000,42447000000,42534000000,44577000000,47289000000,50850000000,52546000000,57428000000,60910000000,65893000000,70947000000,74167000000,77016000000,79046000000,75910000000,83042000000,88272000000,93671000000,84381000000,92487000000,1.11136E+11,1.10523E+11,1.17375E+11,1.20858E+11,,,
亚美尼亚,ARM,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9633000000,9428000000,6757000000,4019000000,3433000000,3379000000,3865000000,4728000000,4068000000,4039000000,3983000000,3872000000,3751000000,3985000000,4322000000,4536000000,4851000000,5200000000,4854000000,4798000000,4967000000,5201000000,,,
美属萨摩亚,ASM,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,耗电量（千瓦时）,EG.USE.ELEC.KH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
